date,shedCluster,seropos,seropos_low,seropos_high,N,N_positive
2020-06-19,MSD01,7.42,0.34,14.51,295,10
2020-06-19,MSD02,3.15,0,7.32,121,3
2020-06-19,MSD03-05,1.33,0,3.14,88,2
2020-06-19,Other,NA,NA,NA,2,0
2020-06-19,Total,5.1,1.14,9.06,506,15
2020-09-19,MSD01,5.26,2.26,8.25,935,22
2020-09-19,MSD02,5.07,2.09,8.05,372,15
2020-09-19,MSD03-05,1.18,0.06,2.3,271,5
2020-09-19,Other,NA,NA,NA,15,0
2020-09-19,Total,4.52,2.93,6.12,1593,42
2020-11-15,MSD01,10.15,6.01,14.29,480,32
2020-11-15,MSD02,5.18,1.73,8.62,342,21
2020-11-15,MSD03-05,5.12,0,10.71,134,3
2020-11-15,Other,11.2,0,29.95,9,1
2020-11-15,Total,7.57,4.99,10.15,965,57
2021-02-11,MSD01,8.25,5.35,11.15,288,24
2021-02-11,MSD02,12.19,7.59,16.79,228,31
2021-02-11,MSD03-05,15.7,8.91,22.49,128,21
2021-02-11,Other,14.93,0,36.83,9,2
2021-02-11,Total,10.95,8.41,13.49,653,78
